 Null title                                                       Feff 8.50L
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=29 Rmt= 1.446 Rnm= 1.499 K  shell
 Pot 1 Z=29 Rmt= 1.352 Rnm= 1.389
 Gam_ch=1.729E+00 H-L exch
 Mu=-3.874E+00 kf=1.825E+00 Vint=-1.656E+01 Rs_int= 1.987
 PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    3      icalc       2
 -----------------------------------------------------------------------
   3  48.000   3.8218    2.6268   -3.87431 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  29 Cu       absorbing atom
     1.8016    1.8016    0.0000  1  29 Cu    
     1.8016    0.0000   -1.8016  1  29 Cu    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  3.9470E+00  4.2889E-05 -1.5462E+00  9.916E-01  1.6094E+01  1.8261E+00
  0.100  3.9474E+00  1.8454E-02 -2.2835E+00  9.918E-01  1.6117E+01  1.8287E+00
  0.200  3.9483E+00  3.4986E-02 -2.9737E+00  9.925E-01  1.6184E+01  1.8366E+00
  0.300  3.9497E+00  4.8111E-02 -3.6187E+00  9.936E-01  1.6289E+01  1.8496E+00
  0.400  3.9513E+00  5.7069E-02 -4.2239E+00  9.951E-01  1.6424E+01  1.8677E+00
  0.500  3.9527E+00  6.1863E-02 -4.7949E+00  9.970E-01  1.6574E+01  1.8907E+00
  0.600  3.9535E+00  6.3071E-02 -5.3363E+00  9.992E-01  1.6725E+01  1.9186E+00
  0.700  3.9533E+00  6.1544E-02 -5.8514E+00  1.002E+00  1.6859E+01  1.9510E+00
  0.800  3.9514E+00  5.8166E-02 -6.3414E+00  1.005E+00  1.6957E+01  1.9878E+00
  0.900  3.9475E+00  5.3663E-02 -6.8062E+00  1.008E+00  1.7002E+01  2.0289E+00
  1.000  3.9409E+00  4.8573E-02 -7.2439E+00  1.012E+00  1.6980E+01  2.0741E+00
  1.100  3.9312E+00  4.3271E-02 -7.6514E+00  1.016E+00  1.6880E+01  2.1232E+00
  1.200  3.9179E+00  3.7992E-02 -8.0233E+00  1.020E+00  1.6697E+01  2.1762E+00
  1.300  3.9005E+00  3.2935E-02 -8.3525E+00  1.025E+00  1.6434E+01  2.2328E+00
  1.400  3.8785E+00  2.8298E-02 -8.6285E+00  1.031E+00  1.6099E+01  2.2932E+00
  1.500  3.8515E+00  2.4348E-02 -8.8383E+00  1.036E+00  1.5707E+01  2.3571E+00
  1.600  3.8191E+00  2.1485E-02 -8.9705E+00  1.043E+00  1.5276E+01  2.4247E+00
  1.700  3.7809E+00  2.0113E-02 -9.0371E+00  1.049E+00  1.4830E+01  2.4959E+00
  1.800  3.7363E+00  2.0460E-02 -9.0762E+00  1.055E+00  1.4394E+01  2.5709E+00
  1.900  3.6850E+00  2.2291E-02 -9.1348E+00  1.061E+00  1.3993E+01  2.6498E+00
  2.000  3.6264E+00  2.5063E-02 -9.2315E+00  1.067E+00  1.3654E+01  2.7327E+00
  2.200  3.4592E+00  2.9601E-02 -9.4506E+00  1.067E+00  1.3280E+01  2.9235E+00
  2.400  3.3347E+00  4.9371E-02 -9.8987E+00  1.237E+00  7.2410E+00  3.0999E+00
  2.600  3.3238E+00  6.1732E-02 -1.0395E+01  1.287E+00  6.1524E+00  3.2310E+00
  2.800  3.2904E+00  7.2248E-02 -1.0928E+01  1.306E+00  5.6566E+00  3.3693E+00
  3.000  3.2357E+00  7.8703E-02 -1.1469E+01  1.307E+00  5.4474E+00  3.5160E+00
  3.200  3.1697E+00  8.3525E-02 -1.1991E+01  1.291E+00  5.3854E+00  3.6689E+00
  3.400  3.0948E+00  8.6531E-02 -1.2494E+01  1.274E+00  5.4130E+00  3.8272E+00
  3.600  3.0144E+00  8.9700E-02 -1.2966E+01  1.251E+00  5.5013E+00  3.9904E+00
  3.800  2.9277E+00  9.0788E-02 -1.3398E+01  1.230E+00  5.6339E+00  4.1578E+00
  4.000  2.8371E+00  9.1721E-02 -1.3792E+01  1.210E+00  5.8006E+00  4.3289E+00
  4.200  2.7440E+00  9.1104E-02 -1.4147E+01  1.191E+00  5.9948E+00  4.5032E+00
  4.400  2.6479E+00  8.9178E-02 -1.4464E+01  1.170E+00  6.2120E+00  4.6804E+00
  4.600  2.5494E+00  8.6095E-02 -1.4753E+01  1.153E+00  6.4487E+00  4.8601E+00
  4.800  2.4491E+00  8.1593E-02 -1.5011E+01  1.138E+00  6.7026E+00  5.0419E+00
  5.000  2.3475E+00  7.6443E-02 -1.5244E+01  1.120E+00  6.9718E+00  5.2256E+00
  5.200  2.2453E+00  7.0592E-02 -1.5457E+01  1.104E+00  7.2548E+00  5.4110E+00
  5.400  2.1428E+00  6.4347E-02 -1.5650E+01  1.090E+00  7.5503E+00  5.5978E+00
  5.600  2.0414E+00  5.8016E-02 -1.5829E+01  1.076E+00  7.8575E+00  5.7859E+00
